*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
10-hr fuel (%)        -99      14       11       9        9        9        9        9        -99      -99      -99      
100-hr fuel (%)       -99      20       21       21       21       20       19       18       -99      -99      -99      
1000-hr fuel (%)      -99      18       19       19       19       19       19       19       -99      -99      -99      


*SA48               36591   27.090  -81.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      94       100      100      97       91       87       90       -99      -99      -99      
Min Temp (F)          -99      69       71       69       66       64       63       63       -99      -99      -99      
Min RH (%)            -99      0        47       63       52       43       44       46       -99      -99      -99      
Max Temp (F)          -99      91       86       89       90       90       88       87       -99      -99      -99      
WSpd (knt)            -99      15       17       15       6        10       10       9        -99      -99      -99      
BI                    -99      38       30       30       19       23       24       23       -99      -99      -99      
ERC                   -99      27       16       17       18       18       19       20       -99      -99      -99      
IC                    -99      23       15       26       16       17       16       15       -99      -99      -99      
10-hr fuel (%)        -99      10       13       10       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      18       24       25       24       22       21       20       -99      -99      -99      
1000-hr fuel (%)      -99      18       20       21       21       21       21       21       -99      -99      -99      


*SA48               38601   27.240  -81.120  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       100      100      100      94       90       93       -99      -99      -99      
Min Temp (F)          -99      68       70       67       64       63       62       62       -99      -99      -99      
Min RH (%)            -99      0        40       55       41       43       47       43       -99      -99      -99      
Max Temp (F)          -99      95       89       92       90       88       88       87       -99      -99      -99      
WSpd (knt)            -99      13       17       14       8        13       12       10       -99      -99      -99      
BI                    -99      37       30       29       20       29       28       24       -99      -99      -99      
ERC                   -99      27       17       18       17       18       20       19       -99      -99      -99      
IC                    -99      27       16       30       16       22       22       15       -99      -99      -99      
10-hr fuel (%)        -99      9        12       9        10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      18       24       25       24       22       21       20       -99      -99      -99      
1000-hr fuel (%)      -99      18       20       21       21       21       21       21       -99      -99      -99      


*SA48               46594   27.820  -81.630  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      94       100      96       94       88       84       87       -99      -99      -99      
Min Temp (F)          -99      70       71       69       66       65       64       64       -99      -99      -99      
Min RH (%)            -99      0        39       55       41       39       41       41       -99      -99      -99      
Max Temp (F)          -99      93       87       90       89       88       88       87       -99      -99      -99      
WSpd (knt)            -99      15       17       15       9        13       13       10       -99      -99      -99      
BI                    -99      43       34       33       24       31       32       27       -99      -99      -99      
ERC                   -99      31       20       21       20       21       22       23       -99      -99      -99      
IC                    -99      30       20       31       21       23       24       18       -99      -99      -99      
10-hr fuel (%)        -99      8        11       9        9        10       9        9        -99      -99      -99      
100-hr fuel (%)       -99      17       23       23       23       22       20       19       -99      -99      -99      
1000-hr fuel (%)      -99      17       19       20       20       20       20       20       -99      -99      -99      


*SA48               50602   28.110  -81.040  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       100      97       94       87       93       -99      -99      -99      
Min Temp (F)          -99      69       70       68       65       64       63       63       -99      -99      -99      
Min RH (%)            -99      0        36       50       44       51       48       55       -99      -99      -99      
Max Temp (F)          -99      94       88       91       86       85       85       85       -99      -99      -99      
WSpd (knt)            -99      15       17       12       10       12       12       10       -99      -99      -99      
BI                    -99      44       36       31       24       30       30       25       -99      -99      -99      
ERC                   -99      32       21       21       19       21       22       21       -99      -99      -99      
IC                    -99      35       27       31       15       20       17       13       -99      -99      -99      
10-hr fuel (%)        -99      8        10       9        11       10       10       11       -99      -99      -99      
100-hr fuel (%)       -99      17       22       24       23       21       20       19       -99      -99      -99      
1000-hr fuel (%)      -99      17       19       20       20       20       20       20       -99      -99      -99      


*SA48               54595   28.400  -81.550  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      91       88       87       94       88       87       94       -99      -99      -99      
Min Temp (F)          -99      72       73       71       68       66       66       65       -99      -99      -99      
Min RH (%)            -99      0        37       51       46       51       48       56       -99      -99      -99      
Max Temp (F)          -99      91       86       89       86       84       85       84       -99      -99      -99      
WSpd (knt)            -99      15       16       13       8        12       13       10       -99      -99      -99      
BI                    -99      44       43       41       27       37       37       30       -99      -99      -99      
ERC                   -99      32       30       30       28       29       28       27       -99      -99      -99      
IC                    -99      33       26       34       14       22       18       13       -99      -99      -99      
10-hr fuel (%)        -99      8        9        8        10       9        10       11       -99      -99      -99      
100-hr fuel (%)       -99      17       17       18       18       18       18       18       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       17       17       17       17       17       -99      -99      -99      


*SA48               64594   29.130  -81.630  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      93       94       91       84       90       -99      -99      -99      
Min Temp (F)          -99      67       68       65       62       62       62       61       -99      -99      -99      
Min RH (%)            -99      0        37       40       42       46       43       48       -99      -99      -99      
Max Temp (F)          -99      94       89       90       86       86       86       86       -99      -99      -99      
WSpd (knt)            -99      13       15       8        7        10       9        9        -99      -99      -99      
BI                    -99      38       37       26       22       28       26       26       -99      -99      -99      
ERC                   -99      28       25       25       23       24       24       24       -99      -99      -99      
IC                    -99      30       30       25       14       19       16       14       -99      -99      -99      
10-hr fuel (%)        -99      8        9        8        10       9        10       10       -99      -99      -99      
100-hr fuel (%)       -99      18       20       21       21       20       19       19       -99      -99      -99      
1000-hr fuel (%)      -99      18       19       19       19       19       19       19       -99      -99      -99      


*SA48               65586   29.200  -82.210  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      93       100      100      100      100      -99      -99      -99      
Min Temp (F)          -99      67       70       63       60       59       57       58       -99      -99      -99      
Min RH (%)            -99      0        49       46       45       43       44       42       -99      -99      -99      
Max Temp (F)          -99      90       86       87       87       86       86       85       -99      -99      -99      
WSpd (knt)            -99      15       19       11       4        7        8        6        -99      -99      -99      
BI                    -99      36       43       32       18       20       21       20       -99      -99      -99      
ERC                   -99      25       23       24       21       19       18       18       -99      -99      -99      
IC                    -99      21       32       31       12       15       15       14       -99      -99      -99      
10-hr fuel (%)        -99      10       10       8        10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      20       22       22       23       24       24       24       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       19       19       20       20       20       -99      -99      -99      


*SA49               39610   27.310  -80.460  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      91       88       87       90       -99      -99      -99      
Min Temp (F)          -99      69       71       69       67       67       65       64       -99      -99      -99      
Min RH (%)            -99      0        41       48       48       58       55       58       -99      -99      -99      
Max Temp (F)          -99      94       90       92       85       84       85       85       -99      -99      -99      
WSpd (knt)            -99      13       16       12       11       13       12       9        -99      -99      -99      
BI                    -99      35       29       25       23       28       27       21       -99      -99      -99      
ERC                   -99      25       16       16       16       18       19       18       -99      -99      -99      
IC                    -99      28       21       23       14       18       16       10       -99      -99      -99      
10-hr fuel (%)        -99      9        11       10       12       10       11       11       -99      -99      -99      
100-hr fuel (%)       -99      19       24       25       23       21       20       20       -99      -99      -99      
1000-hr fuel (%)      -99      19       21       21       21       21       21       21       -99      -99      -99      


*SA49               49606   28.040  -80.750  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       100      100      94       85       87       90       -99      -99      -99      
Min Temp (F)          -99      68       70       68       65       65       64       64       -99      -99      -99      
Min RH (%)            -99      0        37       50       50       58       55       61       -99      -99      -99      
Max Temp (F)          -99      94       89       91       85       84       84       84       -99      -99      -99      
WSpd (knt)            -99      14       18       13       13       14       15       12       -99      -99      -99      
BI                    -99      42       38       32       29       31       33       29       -99      -99      -99      
ERC                   -99      32       20       20       19       21       22       21       -99      -99      -99      
IC                    -99      32       25       30       16       18       17       13       -99      -99      -99      
10-hr fuel (%)        -99      8        11       9        12       11       11       11       -99      -99      -99      
100-hr fuel (%)       -99      17       23       24       22       21       19       19       -99      -99      -99      
1000-hr fuel (%)      -99      17       19       20       20       20       20       20       -99      -99      -99      


*SA49               61602   28.910  -81.040  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       93       91       88       87       93       -99      -99      -99      
Min Temp (F)          -99      69       70       67       65       65       64       64       -99      -99      -99      
Min RH (%)            -99      0        36       40       48       56       53       58       -99      -99      -99      
Max Temp (F)          -99      93       89       88       83       82       81       82       -99      -99      -99      
WSpd (knt)            -99      15       18       11       13       14       14       12       -99      -99      -99      
BI                    -99      41       45       33       33       35       34       32       -99      -99      -99      
ERC                   -99      29       27       25       24       25       25       24       -99      -99      -99      
IC                    -99      34       36       27       17       20       17       15       -99      -99      -99      
10-hr fuel (%)        -99      8        9        9        11       10       10       11       -99      -99      -99      
100-hr fuel (%)       -99      17       19       20       20       19       18       19       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       18       19       18       18       19       -99      -99      -99      


*SA49               65597   29.200  -81.410  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      93       94       87       87       93       -99      -99      -99      
Min Temp (F)          -99      67       68       65       62       62       62       61       -99      -99      -99      
Min RH (%)            -99      0        37       40       43       53       50       53       -99      -99      -99      
Max Temp (F)          -99      94       89       89       85       84       83       84       -99      -99      -99      
WSpd (knt)            -99      13       15       8        9        11       11       10       -99      -99      -99      
BI                    -99      39       38       26       25       31       31       27       -99      -99      -99      
ERC                   -99      29       26       25       23       25       25       24       -99      -99      -99      
IC                    -99      31       32       23       14       20       17       14       -99      -99      -99      
10-hr fuel (%)        -99      8        9        8        11       10       10       11       -99      -99      -99      
100-hr fuel (%)       -99      17       20       21       21       19       19       19       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       19       19       19       19       19       -99      -99      -99      


*SA49               73597   29.780  -81.410  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       94       84       100      100      100      100      -99      -99      -99      
Min Temp (F)          -99      68       70       64       61       60       58       60       -99      -99      -99      
Min RH (%)            -99      0        42       38       48       56       55       54       -99      -99      -99      
Max Temp (F)          -99      91       89       85       80       80       80       80       -99      -99      -99      
WSpd (knt)            -99      14       16       10       9        10       11       10       -99      -99      -99      
BI                    -99      37       41       31       26       27       29       25       -99      -99      -99      
ERC                   -99      27       27       27       24       23       21       21       -99      -99      -99      
IC                    -99      25       37       24       13       14       15       13       -99      -99      -99      
10-hr fuel (%)        -99      9        8        8        11       11       11       11       -99      -99      -99      
100-hr fuel (%)       -99      18       19       19       20       21       22       22       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       18       18       19       19       19       -99      -99      -99      


*SA49               83595   30.510  -81.550  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      94       91       80       100      100      100      100      -99      -99      -99      
Min Temp (F)          -99      69       70       63       61       61       59       60       -99      -99      -99      
Min RH (%)            -99      0        42       36       47       56       54       52       -99      -99      -99      
Max Temp (F)          -99      91       88       83       78       78       79       79       -99      -99      -99      
WSpd (knt)            -99      17       16       11       11       12       12       12       -99      -99      -99      
BI                    -99      42       42       35       32       32       32       31       -99      -99      -99      
ERC                   -99      28       28       29       25       23       23       23       -99      -99      -99      
IC                    -99      28       33       25       18       16       18       17       -99      -99      -99      
10-hr fuel (%)        -99      9        8        8        10       11       10       11       -99      -99      -99      
100-hr fuel (%)       -99      17       18       17       19       20       20       20       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       18       18       18       19       19       -99      -99      -99      


*SA50               20603   25.930  -80.970  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      100      97       93       97       -99      -99      -99      
Min Temp (F)          -99      68       69       69       66       65       64       63       -99      -99      -99      
Min RH (%)            -99      0        49       61       50       41       44       48       -99      -99      -99      
Max Temp (F)          -99      91       89       91       91       90       86       87       -99      -99      -99      
WSpd (knt)            -99      10       13       12       5        9        9        6        -99      -99      -99      
BI                    -99      29       31       30       19       24       24       20       -99      -99      -99      
ERC                   -99      25       21       21       20       21       21       20       -99      -99      -99      
IC                    -99      21       15       23       14       17       15       13       -99      -99      -99      
10-hr fuel (%)        -99      9        12       10       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      20       22       23       23       23       21       22       -99      -99      -99      
1000-hr fuel (%)      -99      18       19       19       19       19       19       20       -99      -99      -99      


*SA50               23609   26.150  -80.540  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       100      100      100      94       93       97       -99      -99      -99      
Min Temp (F)          -99      70       71       71       69       67       66       66       -99      -99      -99      
Min RH (%)            -99      0        50       57       47       46       50       51       -99      -99      -99      
Max Temp (F)          -99      91       89       91       89       87       85       85       -99      -99      -99      
WSpd (knt)            -99      11       15       13       7        10       10       6        -99      -99      -99      
BI                    -99      40       42       41       26       32       31       25       -99      -99      -99      
ERC                   -99      34       29       29       27       28       27       27       -99      -99      -99      
IC                    -99      20       20       31       16       18       16       13       -99      -99      -99      
10-hr fuel (%)        -99      10       11       9        10       10       11       10       -99      -99      -99      
100-hr fuel (%)       -99      17       20       21       21       21       20       20       -99      -99      -99      
1000-hr fuel (%)      -99      15       16       16       16       17       17       17       -99      -99      -99      


*SA50               24598   26.220  -81.340  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       100      100      100      97       93       97       -99      -99      -99      
Min Temp (F)          -99      69       70       69       66       64       63       63       -99      -99      -99      
Min RH (%)            -99      0        52       67       54       45       45       49       -99      -99      -99      
Max Temp (F)          -99      91       88       89       91       90       87       87       -99      -99      -99      
WSpd (knt)            -99      10       12       11       5        9        9        4        -99      -99      -99      
BI                    -99      26       26       26       18       22       22       16       -99      -99      -99      
ERC                   -99      22       18       19       19       19       19       19       -99      -99      -99      
IC                    -99      18       12       19       13       16       13       10       -99      -99      -99      
10-hr fuel (%)        -99      10       12       10       10       10       11       11       -99      -99      -99      
100-hr fuel (%)       -99      19       21       22       22       22       21       21       -99      -99      -99      
1000-hr fuel (%)      -99      20       20       21       21       21       21       21       -99      -99      -99      


*SA50               26605   26.360  -80.830  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      100      100      93       100      -99      -99      -99      
Min Temp (F)          -99      67       67       68       65       63       62       61       -99      -99      -99      
Min RH (%)            -99      0        47       59       45       42       47       48       -99      -99      -99      
Max Temp (F)          -99      91       88       89       88       87       85       85       -99      -99      -99      
WSpd (knt)            -99      10       14       12       7        9        11       7        -99      -99      -99      
BI                    -99      29       32       32       21       24       28       20       -99      -99      -99      
ERC                   -99      26       22       22       20       20       21       19       -99      -99      -99      
IC                    -99      19       16       27       15       16       18       13       -99      -99      -99      
10-hr fuel (%)        -99      9        11       9        10       10       11       11       -99      -99      -99      
100-hr fuel (%)       -99      19       21       23       24       23       22       23       -99      -99      -99      
1000-hr fuel (%)      -99      18       19       19       19       19       19       20       -99      -99      -99      


*SA50               29598   26.580  -81.340  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      94       100      96       97       94       90       93       -99      -99      -99      
Min Temp (F)          -99      69       70       70       67       65       64       64       -99      -99      -99      
Min RH (%)            -99      0        50       67       52       45       47       49       -99      -99      -99      
Max Temp (F)          -99      91       87       88       89       88       86       87       -99      -99      -99      
WSpd (knt)            -99      12       15       14       5        8        10       7        -99      -99      -99      
BI                    -99      35       31       34       20       24       27       22       -99      -99      -99      
ERC                   -99      27       21       23       22       22       23       23       -99      -99      -99      
IC                    -99      24       8        24       13       15       16       12       -99      -99      -99      
10-hr fuel (%)        -99      9        14       10       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      19       21       21       22       21       20       20       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       19       19       19       19       19       -99      -99      -99      


*SA50               31609   26.730  -80.540  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      97       91       90       97       -99      -99      -99      
Min Temp (F)          -99      67       68       69       67       65       64       64       -99      -99      -99      
Min RH (%)            -99      0        50       59       45       50       50       51       -99      -99      -99      
Max Temp (F)          -99      92       90       91       88       87       86       85       -99      -99      -99      
WSpd (knt)            -99      11       17       13       9        14       13       8        -99      -99      -99      
BI                    -99      36       40       38       28       37       37       26       -99      -99      -99      
ERC                   -99      30       26       27       25       26       27       26       -99      -99      -99      
IC                    -99      19       15       31       16       22       21       13       -99      -99      -99      
10-hr fuel (%)        -99      10       12       9        10       10       10       11       -99      -99      -99      
100-hr fuel (%)       -99      18       20       21       21       20       19       20       -99      -99      -99      
1000-hr fuel (%)      -99      16       17       17       17       17       17       18       -99      -99      -99      


*SA51A              10602   25.200  -81.040  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      91       94       87       91       91       87       87       -99      -99      -99      
Min Temp (F)          -99      74       74       74       72       70       69       68       -99      -99      -99      
Min RH (%)            -99      0        52       57       57       48       47       48       -99      -99      -99      
Max Temp (F)          -99      89       89       88       89       88       86       87       -99      -99      -99      
WSpd (knt)            -99      6        11       12       4        8        11       8        -99      -99      -99      
BI                    -99      27       34       37       22       28       35       28       -99      -99      -99      
ERC                   -99      31       28       29       29       29       29       29       -99      -99      -99      
IC                    -99      15       14       21       13       17       20       16       -99      -99      -99      
10-hr fuel (%)        -99      9        11       10       9        9        9        9        -99      -99      -99      
100-hr fuel (%)       -99      16       17       18       18       18       18       17       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       17       17       17       17       17       -99      -99      -99      


*SA51A              14602   25.490  -81.040  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      100      94       97       97       -99      -99      -99      
Min Temp (F)          -99      70       71       72       68       67       65       65       -99      -99      -99      
Min RH (%)            -99      0        52       65       61       47       47       51       -99      -99      -99      
Max Temp (F)          -99      91       89       89       91       91       87       88       -99      -99      -99      
WSpd (knt)            -99      10       15       13       4        8        10       7        -99      -99      -99      
BI                    -99      33       38       36       21       27       29       23       -99      -99      -99      
ERC                   -99      31       27       25       25       26       25       24       -99      -99      -99      
IC                    -99      19       16       17       13       17       16       13       -99      -99      -99      
10-hr fuel (%)        -99      9        12       11       10       10       11       11       -99      -99      -99      
100-hr fuel (%)       -99      18       20       21       22       21       21       21       -99      -99      -99      
1000-hr fuel (%)      -99      16       17       17       17       17       18       18       -99      -99      -99      


*SA51A              19599   25.850  -81.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      100      97       93       97       -99      -99      -99      
Min Temp (F)          -99      68       69       69       66       65       64       62       -99      -99      -99      
Min RH (%)            -99      0        54       65       59       42       44       46       -99      -99      -99      
Max Temp (F)          -99      90       88       89       91       90       88       88       -99      -99      -99      
WSpd (knt)            -99      10       13       12       5        10       10       5        -99      -99      -99      
BI                    -99      29       32       30       20       26       26       20       -99      -99      -99      
ERC                   -99      26       22       21       21       21       22       21       -99      -99      -99      
IC                    -99      17       14       20       14       19       17       12       -99      -99      -99      
10-hr fuel (%)        -99      10       12       11       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      19       21       23       23       22       21       21       -99      -99      -99      
1000-hr fuel (%)      -99      18       19       19       19       19       19       19       -99      -99      -99      


*SA51A              23594   26.150  -81.630  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       94       93       97       94       87       90       -99      -99      -99      
Min Temp (F)          -99      72       72       72       69       67       66       65       -99      -99      -99      
Min RH (%)            -99      0        56       74       59       48       47       50       -99      -99      -99      
Max Temp (F)          -99      89       87       88       90       90       88       87       -99      -99      -99      
WSpd (knt)            -99      10       14       13       5        9        8        6        -99      -99      -99      
BI                    -99      26       28       30       19       24       23       21       -99      -99      -99      
ERC                   -99      23       19       21       21       22       22       22       -99      -99      -99      
IC                    -99      16       10       18       11       16       13       12       -99      -99      -99      
10-hr fuel (%)        -99      10       13       11       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      19       20       20       21       20       19       19       -99      -99      -99      
1000-hr fuel (%)      -99      20       20       20       20       20       20       20       -99      -99      -99      


*SA51A              30592   26.650  -81.770  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      91       94       96       94       88       87       87       -99      -99      -99      
Min Temp (F)          -99      72       74       72       69       67       66       65       -99      -99      -99      
Min RH (%)            -99      0        54       63       57       46       45       48       -99      -99      -99      
Max Temp (F)          -99      89       86       88       90       90       88       87       -99      -99      -99      
WSpd (knt)            -99      13       17       15       6        9        10       7        -99      -99      -99      
BI                    -99      41       36       34       23       26       27       22       -99      -99      -99      
ERC                   -99      31       21       22       22       23       23       23       -99      -99      -99      
IC                    -99      20       16       24       17       19       17       13       -99      -99      -99      
10-hr fuel (%)        -99      10       12       10       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      17       23       23       22       21       20       20       -99      -99      -99      
1000-hr fuel (%)      -99      16       18       19       19       19       19       19       -99      -99      -99      


*SA51B              11606   25.270  -80.750  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       96       100      94       93       100      -99      -99      -99      
Min Temp (F)          -99      71       72       72       69       68       67       66       -99      -99      -99      
Min RH (%)            -99      0        54       59       56       50       50       51       -99      -99      -99      
Max Temp (F)          -99      90       90       90       90       88       86       87       -99      -99      -99      
WSpd (knt)            -99      8        11       11       4        9        11       3        -99      -99      -99      
BI                    -99      29       34       34       21       28       33       17       -99      -99      -99      
ERC                   -99      31       28       27       26       27       26       25       -99      -99      -99      
IC                    -99      17       14       21       12       17       18       9        -99      -99      -99      
10-hr fuel (%)        -99      9        11       10       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      17       19       20       21       20       19       20       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       17       17       17       18       18       -99      -99      -99      


*SA51B              15608   25.560  -80.610  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      97       91       93       97       -99      -99      -99      
Min Temp (F)          -99      71       72       72       70       68       67       67       -99      -99      -99      
Min RH (%)            -99      0        52       57       54       47       49       53       -99      -99      -99      
Max Temp (F)          -99      91       90       91       91       88       86       86       -99      -99      -99      
WSpd (knt)            -99      10       16       14       6        12       11       7        -99      -99      -99      
BI                    -99      33       41       36       25       35       33       24       -99      -99      -99      
ERC                   -99      30       27       25       25       26       26       26       -99      -99      -99      
IC                    -99      16       19       22       16       22       18       13       -99      -99      -99      
10-hr fuel (%)        -99      10       11       10       10       10       10       10       -99      -99      -99      
100-hr fuel (%)       -99      18       20       22       22       21       20       20       -99      -99      -99      
1000-hr fuel (%)      -99      16       17       17       17       17       18       18       -99      -99      -99      


*SA51B              19606   25.850  -80.750  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       96       97       91       90       94       -99      -99      -99      
Min Temp (F)          -99      70       70       71       68       67       66       65       -99      -99      -99      
Min RH (%)            -99      0        50       55       50       42       44       48       -99      -99      -99      
Max Temp (F)          -99      92       90       91       91       89       86       87       -99      -99      -99      
WSpd (knt)            -99      11       16       14       7        10       10       6        -99      -99      -99      
BI                    -99      35       38       36       24       29       29       23       -99      -99      -99      
ERC                   -99      29       25       25       24       25       25       24       -99      -99      -99      
IC                    -99      20       20       28       16       20       16       13       -99      -99      -99      
10-hr fuel (%)        -99      10       11       9        10       9        10       10       -99      -99      -99      
100-hr fuel (%)       -99      18       20       21       22       20       19       20       -99      -99      -99      
1000-hr fuel (%)      -99      17       18       18       18       18       18       18       -99      -99      -99      


*SA51B              21613   26.000  -80.240  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      88       91       84       82       77       79       82       -99      -99      -99      
Min Temp (F)          -99      72       74       74       73       71       69       69       -99      -99      -99      
Min RH (%)            -99      0        50       52       47       48       48       53       -99      -99      -99      
Max Temp (F)          -99      91       91       92       88       86       85       86       -99      -99      -99      
WSpd (knt)            -99      12       16       12       12       14       12       9        -99      -99      -99      
BI                    -99      39       45       40       40       43       41       33       -99      -99      -99      
ERC                   -99      32       32       32       32       34       34       34       -99      -99      -99      
IC                    -99      17       23       24       22       24       20       16       -99      -99      -99      
10-hr fuel (%)        -99      10       10       9        9        9        9        9        -99      -99      -99      
100-hr fuel (%)       -99      17       17       17       17       16       15       15       -99      -99      -99      
1000-hr fuel (%)      -99      16       16       16       16       16       16       16       -99      -99      -99      


*SA51B              27614   26.440  -80.170  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      94       94       96       88       82       84       90       -99      -99      -99      
Min Temp (F)          -99      72       74       72       72       71       69       69       -99      -99      -99      
Min RH (%)            -99      0        57       59       56       58       57       58       -99      -99      -99      
Max Temp (F)          -99      91       90       91       86       84       84       84       -99      -99      -99      
WSpd (knt)            -99      11       15       11       11       13       12       9        -99      -99      -99      
BI                    -99      33       37       33       32       37       35       28       -99      -99      -99      
ERC                   -99      28       27       26       26       27       28       27       -99      -99      -99      
IC                    -99      12       14       19       15       18       16       12       -99      -99      -99      
10-hr fuel (%)        -99      11       11       10       11       10       10       11       -99      -99      -99      
100-hr fuel (%)       -99      17       18       20       19       18       18       18       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       18       18       17       17       18       -99      -99      -99      


*SA51B              32613   26.800  -80.240  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       93       88       82       84       90       -99      -99      -99      
Min Temp (F)          -99      70       70       70       70       68       67       66       -99      -99      -99      
