*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
IC                    -99      2        6        6        12       14       12       8        -99      -99      -99      
10-hr fuel (%)        -99      17       16       16       12       11       10       11       -99      -99      -99      
100-hr fuel (%)       -99      18       29       30       25       21       18       17       -99      -99      -99      
1000-hr fuel (%)      -99      18       23       25       25       25       25       25       -99      -99      -99      


*TUCKAHOE           182101  38.900  -75.900  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       100      96       80       74       83       93       -99      -99      -99      
Min Temp (F)          -99      52       52       45       42       44       47       51       -99      -99      -99      
Min RH (%)            -99      0        78       86       69       53       54       56       -99      -99      -99      
Max Temp (F)          -99      64       57       52       61       64       69       74       -99      -99      -99      
WSpd (knt)            -99      10       18       15       13       12       11       9        -99      -99      -99      
BI                    -99      21       2        6        16       19       19       17       -99      -99      -99      
ERC                   -99      18       0        1        7        10       12       13       -99      -99      -99      
IC                    -99      1        0        5        11       10       9        7        -99      -99      -99      
10-hr fuel (%)        -99      18       23       16       12       12       12       11       -99      -99      -99      
100-hr fuel (%)       -99      19       30       31       25       21       18       17       -99      -99      -99      
1000-hr fuel (%)      -99      19       24       26       26       26       25       25       -99      -99      -99      


*POWELLVILLE        182201  38.300  -75.400  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       100      83       86       77       80       90       -99      -99      -99      
Min Temp (F)          -99      51       56       48       44       46       49       52       -99      -99      -99      
Min RH (%)            -99      0        84       80       80       59       58       58       -99      -99      -99      
Max Temp (F)          -99      63       61       53       58       61       66       69       -99      -99      -99      
WSpd (knt)            -99      10       15       17       19       13       12       10       -99      -99      -99      
BI                    -99      17       12       8        19       19       20       17       -99      -99      -99      
ERC                   -99      16       4        1        6        10       12       12       -99      -99      -99      
IC                    -99      0        4        6        11       12       12       7        -99      -99      -99      
10-hr fuel (%)        -99      20       17       16       13       11       11       12       -99      -99      -99      
100-hr fuel (%)       -99      19       29       30       25       21       19       17       -99      -99      -99      
1000-hr fuel (%)      -99      19       24       26       26       26       26       25       -99      -99      -99      


*CACO               191203  41.980  -70.020  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      97       79       80       80       89       100      -99      -99      -99      
Min Temp (F)          -99      44       45       42       42       44       45       46       -99      -99      -99      
Min RH (%)            -99      0        60       63       59       61       66       67       -99      -99      -99      
Max Temp (F)          -99      60       53       52       53       54       57       59       -99      -99      -99      
WSpd (knt)            -99      7        19       13       20       18       15       8        -99      -99      -99      
BI                    -99      17       25       23       32       31       28       19       -99      -99      -99      
ERC                   -99      17       10       14       16       17       19       18       -99      -99      -99      
IC                    -99      5        8        8        11       8        10       4        -99      -99      -99      
10-hr fuel (%)        -99      13       14       12       12       13       11       13       -99      -99      -99      
100-hr fuel (%)       -99      20       24       20       18       17       16       17       -99      -99      -99      
1000-hr fuel (%)      -99      22       23       23       23       22       22       22       -99      -99      -99      


*WAKEFIELD          200102  46.400  -89.800  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      89       73       60       80       87       90       84       -99      -99      -99      
Min Temp (F)          -99      36       39       43       49       53       54       58       -99      -99      -99      
Min RH (%)            -99      0        23       22       43       58       55       57       -99      -99      -99      
Max Temp (F)          -99      69       66       63       68       73       77       78       -99      -99      -99      
WSpd (knt)            -99      6        8        11       16       6        7        9        -99      -99      -99      
BI                    -99      20       23       28       31       20       20       26       -99      -99      -99      
ERC                   -99      20       23       24       22       23       23       26       -99      -99      -99      
IC                    -99      22       25       16       9        7        7        14       -99      -99      -99      
10-hr fuel (%)        -99      6        6        8        11       10       11       9        -99      -99      -99      
100-hr fuel (%)       -99      15       13       12       12       12       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      24       24       23       22       22       21       21       -99      -99      -99      


*WATERSMEET         200103  46.200  -89.100  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      96       82       64       83       90       90       87       -99      -99      -99      
Min Temp (F)          -99      31       35       40       47       52       55       59       -99      -99      -99      
Min RH (%)            -99      0        27       20       36       58       52       54       -99      -99      -99      
Max Temp (F)          -99      66       65       63       68       75       79       80       -99      -99      -99      
WSpd (knt)            -99      5        7        11       15       6        6        9        -99      -99      -99      
BI                    -99      19       23       30       31       21       21       27       -99      -99      -99      
ERC                   -99      21       24       25       23       24       25       28       -99      -99      -99      
IC                    -99      18       24       19       10       9        8        16       -99      -99      -99      
10-hr fuel (%)        -99      7        6        7        11       10       10       8        -99      -99      -99      
100-hr fuel (%)       -99      15       13       12       12       13       13       13       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       21       21       20       -99      -99      -99      


*KENTON             200301  46.600  -88.900  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      85       76       62       80       84       90       87       -99      -99      -99      
Min Temp (F)          -99      33       37       41       48       53       53       57       -99      -99      -99      
Min RH (%)            -99      0        24       19       35       52       48       50       -99      -99      -99      
Max Temp (F)          -99      67       67       66       70       75       79       80       -99      -99      -99      
WSpd (knt)            -99      7        7        10       16       5        5        7        -99      -99      -99      
BI                    -99      21       23       27       34       20       20       24       -99      -99      -99      
ERC                   -99      22       25       26       25       25       25       28       -99      -99      -99      
IC                    -99      22       25       18       13       8        7        14       -99      -99      -99      
10-hr fuel (%)        -99      6        5        7        10       10       10       8        -99      -99      -99      
100-hr fuel (%)       -99      15       13       11       12       12       13       12       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       21       21       21       20       -99      -99      -99      


